id,segment,type_structure,organisation,ville,website,contact_page,email,phone,sales_stage,priority,source,next_action,notes,qualification_abc,message_type,canal_prioritaire,statut_relance,ordre_lot
SNT-008,Sante,Hopital psy / institution handicap mental,Institution sante mentale Mons #8,Mons,,,,,suspect,A,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,A,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,11
SNT-009,Sante,Hopital psy / institution handicap mental,Institution sante mentale Soignies #9,Soignies,,,,,suspect,A,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,A,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,12
ECO-005,Education,Ecole primaire,Ecole primaire Ath #5,Ath,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,13
ECO-006,Education,Ecole primaire,Ecole primaire Tournai #6,Tournai,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,14
ECO-007,Education,Ecole primaire,Ecole primaire Mons #7,Mons,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,15
ECO-015,Education,Ecole primaire,Ecole primaire Ath #15,Ath,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,16
UNI-001,Education superieure,Universite / Haute ecole,Etablissement superieur Mons #1,Mons,,,,,suspect,A,Prospection institutionnelle,Contacter service vie etudiante / durable,Ateliers campus durable,A,"Bonjour, je vous contacte pour une action campus durable et atelier pratique.",email,a_contacter,17
MED-001,Media,Media local,TeleMB,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,18
MED-002,Media,Media local,RTBF Mons,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,19
MED-003,Media,Presse locale,Sudinfo Mons,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,20
MED-004,Media,Media local,Info Mons,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,21
MED-005,Influenceur,Createur contenu jardin,Influenceur jardin Wallonie #1,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour une collaboration contenu autour du potager et de la permaculture.",email,a_contacter,22
MED-010,Communaute,Reseau social,Collectif transition locale #1,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un partenariat de visibilite sur des actions locales.",email,a_contacter,23
ADM-003,Administration,CPAS / Commune,CPAS de Boussu,Boussu,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,24
ADM-004,Administration,CPAS / Commune,CPAS de Frameries,Frameries,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,25
ADM-005,Administration,CPAS / Commune,CPAS de Colfontaine,Colfontaine,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,26
ADM-006,Administration,CPAS / Commune,CPAS de Quaregnon,Quaregnon,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,27
ADM-007,Administration,CPAS / Commune,CPAS de Jurbise,Jurbise,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,28
ADM-009,Administration,CPAS / Commune,CPAS de Ath,Ath,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,29
ADM-010,Administration,CPAS / Commune,CPAS de Tournai,Tournai,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,30
ADM-013,Administration,CPAS / Commune,CPAS de Boussu,Boussu,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,31
ADM-014,Administration,CPAS / Commune,CPAS de Frameries,Frameries,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,32
ADM-015,Administration,CPAS / Commune,CPAS de Colfontaine,Colfontaine,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,33
ADM-016,Administration,CPAS / Commune,CPAS de Quaregnon,Quaregnon,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,34
ADM-017,Administration,CPAS / Commune,CPAS de Jurbise,Jurbise,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,35
ADM-019,Administration,CPAS / Commune,CPAS de Ath,Ath,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,36
ADM-020,Administration,CPAS / Commune,CPAS de Tournai,Tournai,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,B,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,37
JSP-002,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Soignies #2,Soignies,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,38
JSP-003,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Boussu #3,Boussu,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,39
JSP-004,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Frameries #4,Frameries,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,40
JSP-005,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Colfontaine #5,Colfontaine,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,41
JSP-006,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Quaregnon #6,Quaregnon,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,42
JSP-007,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Jurbise #7,Jurbise,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,43
JSP-008,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse La Louviere #8,La Louviere,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,44
JSP-009,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Ath #9,Ath,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,45
JSP-010,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Tournai #10,Tournai,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,46
JSP-012,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Soignies #12,Soignies,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,47
JSP-013,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Boussu #13,Boussu,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,48
JSP-014,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Frameries #14,Frameries,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,49
JSP-015,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Colfontaine #15,Colfontaine,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,50
SDF-001,Institution sociale,Hebergement / accueil SDF,Structure accueil Boussu #1,Boussu,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,51
SDF-002,Institution sociale,Hebergement / accueil SDF,Structure accueil Frameries #2,Frameries,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,52
SDF-003,Institution sociale,Hebergement / accueil SDF,Structure accueil Colfontaine #3,Colfontaine,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,53
SDF-004,Institution sociale,Hebergement / accueil SDF,Structure accueil Quaregnon #4,Quaregnon,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,54
SDF-005,Institution sociale,Hebergement / accueil SDF,Structure accueil Jurbise #5,Jurbise,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,55
SDF-007,Institution sociale,Hebergement / accueil SDF,Structure accueil Ath #7,Ath,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,56
SDF-008,Institution sociale,Hebergement / accueil SDF,Structure accueil Tournai #8,Tournai,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,57
SDF-010,Institution sociale,Hebergement / accueil SDF,Structure accueil Soignies #10,Soignies,,,,,suspect,B,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,B,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,58
SNT-001,Sante,Hopital psy / institution handicap mental,Institution sante mentale Frameries #1,Frameries,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,59
SNT-002,Sante,Hopital psy / institution handicap mental,Institution sante mentale Colfontaine #2,Colfontaine,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,60
SNT-003,Sante,Hopital psy / institution handicap mental,Institution sante mentale Quaregnon #3,Quaregnon,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,61
SNT-004,Sante,Hopital psy / institution handicap mental,Institution sante mentale Jurbise #4,Jurbise,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,62
SNT-005,Sante,Hopital psy / institution handicap mental,Institution sante mentale La Louviere #5,La Louviere,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,63
SNT-006,Sante,Hopital psy / institution handicap mental,Institution sante mentale Ath #6,Ath,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,64
SNT-007,Sante,Hopital psy / institution handicap mental,Institution sante mentale Tournai #7,Tournai,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,65
SNT-010,Sante,Hopital psy / institution handicap mental,Institution sante mentale Boussu #10,Boussu,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,66
SNT-011,Sante,Hopital psy / institution handicap mental,Institution sante mentale Frameries #11,Frameries,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,67
SNT-012,Sante,Hopital psy / institution handicap mental,Institution sante mentale Colfontaine #12,Colfontaine,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,68
SNT-013,Sante,Hopital psy / institution handicap mental,Institution sante mentale Quaregnon #13,Quaregnon,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,69
SNT-014,Sante,Hopital psy / institution handicap mental,Institution sante mentale Jurbise #14,Jurbise,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,70
SNT-015,Sante,Hopital psy / institution handicap mental,Institution sante mentale La Louviere #15,La Louviere,,,,,suspect,B,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,B,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,71
ECO-001,Education,Ecole primaire,Ecole primaire Colfontaine #1,Colfontaine,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,72
ECO-002,Education,Ecole primaire,Ecole primaire Quaregnon #2,Quaregnon,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,73
ECO-003,Education,Ecole primaire,Ecole primaire Jurbise #3,Jurbise,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,74
ECO-004,Education,Ecole primaire,Ecole primaire La Louviere #4,La Louviere,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,75
ECO-008,Education,Ecole primaire,Ecole primaire Soignies #8,Soignies,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,76
ECO-009,Education,Ecole primaire,Ecole primaire Boussu #9,Boussu,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,77
ECO-010,Education,Ecole primaire,Ecole primaire Frameries #10,Frameries,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,78
ECO-011,Education,Ecole primaire,Ecole primaire Colfontaine #11,Colfontaine,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,79
ECO-012,Education,Ecole primaire,Ecole primaire Quaregnon #12,Quaregnon,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,80
ECO-013,Education,Ecole primaire,Ecole primaire Jurbise #13,Jurbise,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,81
ECO-014,Education,Ecole primaire,Ecole primaire La Louviere #14,La Louviere,,,,,suspect,B,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,B,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,82
FOR-001,Formation,Centre de formation ecologie/maraichage,Centre formation Quaregnon #1,Quaregnon,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,83
FOR-002,Formation,Centre de formation ecologie/maraichage,Centre formation Jurbise #2,Jurbise,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,84
FOR-003,Formation,Centre de formation ecologie/maraichage,Centre formation La Louviere #3,La Louviere,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,85
FOR-004,Formation,Centre de formation ecologie/maraichage,Centre formation Ath #4,Ath,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,86
FOR-005,Formation,Centre de formation ecologie/maraichage,Centre formation Tournai #5,Tournai,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,87
FOR-006,Formation,Centre de formation ecologie/maraichage,Centre formation Mons #6,Mons,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,88
FOR-007,Formation,Centre de formation ecologie/maraichage,Centre formation Soignies #7,Soignies,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,89
FOR-008,Formation,Centre de formation ecologie/maraichage,Centre formation Boussu #8,Boussu,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,90
FOR-009,Formation,Centre de formation ecologie/maraichage,Centre formation Frameries #9,Frameries,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,91
FOR-010,Formation,Centre de formation ecologie/maraichage,Centre formation Colfontaine #10,Colfontaine,,,,,suspect,B,Recherche web,Proposer partenariat atelier,"Co-animation, conferences blue economy",B,"Bonjour, je vous contacte pour explorer un partenariat atelier ecologie et maraichage.",email,a_contacter,92
UNI-002,Education superieure,Universite / Haute ecole,Etablissement superieur Louvain-la-Neuve #2,Louvain-la-Neuve,,,,,suspect,B,Prospection institutionnelle,Contacter service vie etudiante / durable,Ateliers campus durable,B,"Bonjour, je vous contacte pour une action campus durable et atelier pratique.",email,a_contacter,93
UNI-003,Education superieure,Universite / Haute ecole,Etablissement superieur Bruxelles #3,Bruxelles,,,,,suspect,B,Prospection institutionnelle,Contacter service vie etudiante / durable,Ateliers campus durable,B,"Bonjour, je vous contacte pour une action campus durable et atelier pratique.",email,a_contacter,94
UNI-004,Education superieure,Universite / Haute ecole,Etablissement superieur Namur #4,Namur,,,,,suspect,B,Prospection institutionnelle,Contacter service vie etudiante / durable,Ateliers campus durable,B,"Bonjour, je vous contacte pour une action campus durable et atelier pratique.",email,a_contacter,95
UNI-005,Education superieure,Universite / Haute ecole,Etablissement superieur Liege #5,Liege,,,,,suspect,B,Prospection institutionnelle,Contacter service vie etudiante / durable,Ateliers campus durable,B,"Bonjour, je vous contacte pour une action campus durable et atelier pratique.",email,a_contacter,96
MED-006,Influenceur,Createur contenu jardin,Influenceur jardin Wallonie #2,La Louviere,,,,,suspect,B,Notoriete,Pitch media/partenariat,Visibilite et credibilite,B,"Bonjour, je vous contacte pour une collaboration contenu autour du potager et de la permaculture.",email,a_contacter,97
MED-007,Influenceur,Createur contenu eco,Influenceur eco Belgique #1,Bruxelles,,,,,suspect,B,Notoriete,Pitch media/partenariat,Visibilite et credibilite,B,"Bonjour, je vous contacte pour une collaboration contenu autour du potager et de la permaculture.",email,a_contacter,98
MED-008,Communaute,Reseau pedagogique,Reseau Idee,Namur,,,,,suspect,B,Notoriete,Pitch media/partenariat,Visibilite et credibilite,B,"Bonjour, je vous contacte pour un partenariat de visibilite sur des actions locales.",email,a_contacter,99
