id,organisation,ville,segment,query_google_email,query_google_phone,website,contact_page,email_trouve,phone_trouve,source_url,valide
SNT-008,Service de sante mentale Mons (a confirmer),Mons,Sante,"""Institution sante mentale Mons #8"" Mons email contact","""Institution sante mentale Mons #8"" Mons telephone contact",,,,,,non
SNT-009,Centre Hospitalier Saint-Bernard (a confirmer),Soignies,Sante,"""Institution sante mentale Soignies #9"" Soignies email contact","""Institution sante mentale Soignies #9"" Soignies telephone contact",,,,,,non
ECO-005,Athenee Royal d'Ath - section primaire,Ath,Education,"""Ecole primaire Ath #5"" Ath email contact","""Ecole primaire Ath #5"" Ath telephone contact",https://www.athenee-ath.be/,https://www.athenee-ath.be/contact,arafondamental@gmail.com,+32 68 28 30 26,https://www.athenee-ath.be/contact,oui
ECO-006,Athenee Royal Robert Campin - section primaire,Tournai,Education,"""Ecole primaire Tournai #6"" Tournai email contact","""Ecole primaire Tournai #6"" Tournai telephone contact",https://arcampin.be/primaire/coordonnees/,https://arcampin.be/primaire/coordonnees/,campinprimairesecretariat@gmail.com,+32 69 22 57 64,https://arcampin.be/primaire/coordonnees/,oui
ECO-007,Ecole communale de Mons Le Trieu,Mons,Education,"""Ecole primaire Mons #7"" Mons email contact","""Ecole primaire Mons #7"" Mons telephone contact",https://www.mons.be,https://www.mons.be/fr/vivre-a-mons/education-extrascolaire/enseignement-fondamental/les-ecoles-communales-fondamentales/ecole-communale-de-mons-le-trieu,ecole.letrieu@ville.mons.be,+32 65 56 12 00,https://www.mons.be/fr/vivre-a-mons/education-extrascolaire/enseignement-fondamental/les-ecoles-communales-fondamentales/ecole-communale-de-mons-le-trieu,oui
ECO-015,Athenee Royal d'Ath - section primaire,Ath,Education,"""Ecole primaire Ath #15"" Ath email contact","""Ecole primaire Ath #15"" Ath telephone contact",https://www.athenee-ath.be/,https://www.athenee-ath.be/contact,arafondamental@gmail.com,+32 68 28 30 26,https://www.athenee-ath.be/contact,oui
UNI-001,Universite de Mons (UMONS),Mons,Education superieure,"""Etablissement superieur Mons #1"" Mons email contact","""Etablissement superieur Mons #1"" Mons telephone contact",https://web.umons.ac.be/,https://web.umons.ac.be/en/contacts/,,+32 65 37 31 11,https://web.umons.ac.be/en/contacts/,partiel
MED-001,TeleMB,Mons,Media,"""TeleMB"" Mons email contact","""TeleMB"" Mons telephone contact",https://www.telemb.be,https://www.telemb.be/quiestqui,avis@telemb.be,+32 65 40 00 40,https://www.telemb.be/quiestqui,oui
MED-002,RTBF Mons,Mons,Media,"""RTBF Mons"" Mons email contact","""RTBF Mons"" Mons telephone contact",https://www.rtbf.be,https://support.rtbf.be/hc/fr-fr/articles/22919481003025-Comment-venir-%C3%A0-la-RTBF-Mons,,+32 65 32 71 11,https://support.rtbf.be/hc/fr-fr/articles/22919481003025-Comment-venir-%C3%A0-la-RTBF-Mons,partiel
MED-003,Sudinfo,Mons,Media,"""Sudinfo Mons"" Mons email contact","""Sudinfo Mons"" Mons telephone contact",https://www.sudinfo.be,https://espace-abonnement.sudinfo.be/content/contactez-nous,abonnements@sudinfo.be,+32 78 15 75 75,https://espace-abonnement.sudinfo.be/content/contactez-nous,partiel
